marca,ram,disco,procesador,grafica,precio_venta
3,16,1024,30,1,700000
3,4,200,5,0,150000
3,4,1024,15,0,400000
3,7,1024,15,0,200000
3,4,240,15,0,150000
3,4,250,30,0,400000
3,7,250,15,0,300000
3,7,250,30,0,400000
3,7,250,15,0,250000
3,12,500,30,0,450000
3,16,500,70,0,800000
3,2,500,5,0,200000
11,4,150,30,0,200000
11,7,250,30,0,800000
6,4,500,5,0,150000
6,4,150,15,0,600000
6,4,1024,15,0,250000
6,7,1024,30,0,700000
6,7,250,15,0,250000
6,7,250,15,0,380000
6,7,250,15,0,300000
6,7,250,5,0,300000
6,7,250,15,0,400000
6,16,500,30,1,1000000
6,32,500,70,1,1200000
6,4,500,15,0,120000
6,7,500,15,0,400000
6,12,500,30,0,650000
6,12,500,30,0,400000
6,7,500,15,0,400000
9,12,1024,70,0,500000
9,16,250,30,0,200000
9,7,250,15,0,200000
9,7,250,15,0,350000
9,7,250,30,0,220000
9,7,300,30,0,250000
9,7,300,15,0,150000
9,7,500,15,0,300000
9,7,500,15,0,400000
4,4,1024,5,0,235000
4,4,250,5,0,350000
4,16,750,30,0,450000
4,7,150,15,0,300000
4,16,1024,15,0,500000
4,4,1024,15,0,200000
4,7,200,15,0,300000
4,7,240,15,0,400000
4,12,250,15,0,400000
4,4,250,15,0,100000
4,4,250,15,0,300000
4,4,250,15,0,250000
4,4,250,30,0,250000
4,7,250,30,0,300000
4,7,250,15,0,250000
4,7,250,30,0,400000
4,7,250,5,0,150000
4,7,250,15,0,600000
4,7,250,15,0,350000
4,12,500,30,0,500000
4,16,500,15,0,400000
4,4,500,15,0,300000
4,4,500,15,0,300000
4,7,500,30,0,600000
4,7,500,30,0,300000
4,7,500,30,0,600000
4,7,500,30,0,500000
4,7,500,15,0,300000
4,7,500,15,0,300000
4,7,500,30,1,350000
4,7,500,30,0,300000
4,7,500,30,1,600000
4,7,500,30,0,500000
4,7,500,30,0,600000
4,7,500,30,0,250000
4,7,500,30,0,350000
4,7,500,15,0,500000
2,64,250,120,1,700000
10,2,1024,5,0,100000
10,4,1024,30,0,120000
10,7,1024,15,0,300000
10,7,1024,5,0,400000
10,7,1024,30,0,300000
10,7,150,15,0,400000
10,16,1024,30,0,800000
10,7,1024,15,0,200000
10,16,250,30,0,350000
10,4,250,15,0,300000
10,7,250,15,0,250000
10,7,250,5,0,220000
10,7,250,15,0,300000
10,7,250,30,0,300000
10,12,500,30,0,400000
10,16,500,30,0,450000
10,16,500,30,0,500000
10,16,500,70,0,750000
10,4,500,5,0,70000
10,7,500,5,0,400000
10,7,500,15,0,350000
10,7,500,30,0,372000
10,7,500,30,0,600000
10,7,500,30,1,400000
10,7,500,30,0,500000
8,16,500,15,0,200000
7,2,120,5,0,100000
5,16,250,30,0,500000
5,7,500,30,0,400000
1,7,110,30,0,350000
